rep,coef_ols,lower_bound_ols,upper_bound_ols,coef_2sls,lower_bound_2sls,upper_bound_2sls,coef_naive-ml,lower_bound_naive-ml,upper_bound_naive-ml,coef_dml-plr,lower_bound_dml-plr,upper_bound_dml-plr,coef_dml-pliv,lower_bound_dml-pliv,upper_bound_dml-pliv
1.0,0.9927841241661177,0.9454791777307752,1.0400890706014603,0.5053429291085431,0.3750061140097467,0.6356797442073394,1.1252298797778748,1.1036737527921523,1.1467860067635973,1.0935809822975102,1.0442038040795258,1.1429581605154946,0.5214145866092895,0.39787307389041665,0.6449560993281624
2.0,0.9879721908013399,0.9386118719520286,1.0373325096506514,0.4733306800592226,0.33690690316779454,0.6097544569506506,1.0809842056768573,1.061317261461568,1.1006511498921465,1.0999167679363113,1.0503090979789822,1.1495244378936404,0.5006683345016102,0.37924780703756694,0.6220888619656535
3.0,1.014760355379402,0.9661431565657015,1.0633775541931025,0.4765324177669671,0.3411112205995561,0.611953614934378,1.1219631746885876,1.1021098600515944,1.1418164893255809,1.1272448606443852,1.077678298611851,1.1768114226769195,0.5176202743421849,0.38697285157698774,0.6482676971073822
4.0,0.9626823391508716,0.9169341181534377,1.0084305601483055,0.5866884925174161,0.4827615933871127,0.6906153916477193,1.040317886947284,1.0190058615254745,1.0616299123690935,1.0864222303998217,1.0360569727107902,1.136787488088853,0.6260745585002085,0.5270278957394982,0.7251212212609189
5.0,0.9530489091109858,0.9075378559833844,0.9985599622385872,0.5905603740421512,0.4785934919242099,0.7025272561600926,1.0224187834925083,1.00270719206912,1.0421303749158966,1.0367179009168108,0.9901301584409813,1.0833056433926402,0.6502984187356955,0.5485839274337172,0.7520129100376738
6.0,0.969975963761373,0.9232581337881987,1.0166937937345473,0.5051210759177189,0.37682141426894855,0.6334207375664893,1.0644183890309906,1.0436987650779148,1.0851380129840664,1.0691779320445165,1.0220278850999838,1.1163279789890492,0.5137674552753888,0.38571565739552405,0.6418192531552536
7.0,0.9540383933231159,0.9051520590500292,1.0029247275962028,0.35260986964554775,0.216952635627092,0.4882671036640035,1.0560005588441237,1.0347388212370836,1.0772622964511638,1.1174124645288166,1.0664463496092613,1.1683785794483719,0.389913485901732,0.2510593342431866,0.5287676375602774
8.0,1.0285649954933729,0.9809079888760107,1.0762220021107352,0.533627186337469,0.40296252224378215,0.6642918504311558,1.1289748842051084,1.1084668130369189,1.149482955373298,1.1383220943267087,1.0876008941663575,1.18904329448706,0.5347164232763548,0.396125032275973,0.6733078142767366
9.0,0.925810291829064,0.8795039978664048,0.9721165857917233,0.4432231262873555,0.32221384024441485,0.5642324123302962,1.0244094134101358,1.004400828186215,1.0444179986340567,1.0294999278797303,0.9842328310986364,1.0747670246608243,0.4537840329621552,0.32341609345464584,0.5841519724696645
10.0,0.9870258887698153,0.9402779548727597,1.0337738226668711,0.5592853568764217,0.4427394216170485,0.6758312921357948,1.1064116737114291,1.0835239052334493,1.129299442189409,1.0918685990769512,1.044329047539175,1.1394081506147273,0.5318683846273129,0.4135604827628939,0.6501762864917319
11.0,0.9359379125114623,0.888541899480368,0.9833339255425566,0.5081010053010997,0.39135273079078137,0.624849279811418,1.035366715742694,1.0151931814002755,1.0555402500851125,1.0645480493826338,1.0144676793479734,1.1146284194172942,0.5520199069946525,0.4331737641029704,0.6708660498863347
12.0,0.978183624082257,0.9298935649673867,1.0264736831971273,0.5107686185869423,0.39076109221283006,0.6307761449610546,1.0786848526757493,1.0561820891754792,1.1011876161760195,1.1247927482270774,1.0716949989247475,1.1778904975294073,0.5562621032981909,0.44315848110004785,0.669365725496334
13.0,0.9650617619496826,0.9172571538895993,1.012866370009766,0.4705387189106613,0.33604078309876556,0.605036654722557,1.0423639379302139,1.020670724690759,1.0640571511696688,1.046276379843215,0.9995719120193773,1.0929808476670528,0.5236175724323042,0.39744988315560353,0.649785261709005
14.0,0.9270124961554469,0.8807072811382408,0.973317711172653,0.4981833478319737,0.38894386493836564,0.6074228307255818,1.0342922540592607,1.0123995770428333,1.0561849310756881,1.0422242187369943,0.9953819647132869,1.0890664727607018,0.5166781955961574,0.40750217184940885,0.6258542193429059
15.0,0.9804760485653541,0.9315559023446076,1.0293961947861006,0.41936287313627746,0.2784487636532058,0.5602769826193491,1.0906884862915336,1.0687839167891309,1.1125930557939363,1.1070541469863244,1.0594239345384107,1.1546843594342382,0.44152588242449065,0.3024321491626371,0.5806196156863441
16.0,0.9970890855906654,0.9516544530995378,1.042523718081793,0.6667627389576758,0.5630161067538174,0.7705093711615342,1.0599861246333409,1.0390895576002133,1.0808826916664684,1.082971872452993,1.0330495271159237,1.1328942177900625,0.6435739292224466,0.5366993036037214,0.7504485548411718
17.0,1.0052575276412434,0.9582589048800163,1.0522561504024706,0.5733764589339312,0.45538915705174693,0.6913637608161154,1.108774679419236,1.086023071758067,1.1315262870804048,1.1111186242171127,1.0605854319425732,1.1616518164916523,0.6073704243268324,0.4940324021920673,0.7207084464615976
18.0,1.001228867958294,0.9544479014574339,1.048009834459154,0.545059583415399,0.4302351017481627,0.6598840650826352,1.117232650229388,1.0974627558619459,1.13700254459683,1.1158892263301128,1.0695853190779168,1.1621931335823088,0.4792796776244741,0.34085037415683045,0.6177089810921177
19.0,1.0095984089557208,0.9609502553373692,1.0582465625740725,0.5501351073650771,0.43445833767172026,0.6658118770584339,1.1437689546022611,1.1211079137944482,1.166429995410074,1.1459363707090098,1.09434018016165,1.1975325612563696,0.5874662411770532,0.47500076056341434,0.699931721790692
20.0,0.980034006778022,0.933753409262386,1.026314604293658,0.523324188242771,0.4056645085791531,0.6409838679063891,1.0862486523751655,1.0653982506362587,1.1070990541140724,1.0980900205471549,1.0515906277678035,1.1445894133265062,0.579941236645472,0.4561969726855476,0.7036855006053965
21.0,0.9915214202681746,0.9446420010485539,1.0384008394877953,0.5704913073739443,0.44924100456412713,0.6917416101837615,1.0742643279952035,1.0529017191377106,1.0956269368526965,1.0838643349264265,1.036051678688398,1.131676991164455,0.5979248099859621,0.48949236590477085,0.7063572540671533
22.0,0.9787995885113531,0.9316773599767595,1.0259218170459465,0.4534729477145816,0.3253254711790007,0.5816204242501625,1.1087484820505975,1.0861417254419274,1.1313552386592676,1.110146387076501,1.0580212760132461,1.1622714981397557,0.39345939328061796,0.24947435148949984,0.5374444350717361
23.0,0.9732509850652249,0.9268097826508579,1.019692187479592,0.5115550069233011,0.3881854188390011,0.6349245950076012,1.0809486715566312,1.059457840055608,1.1024395030576544,1.0894813023946714,1.0399410704852312,1.1390215343041117,0.5393457452307363,0.4264653212084075,0.6522261692530651
24.0,0.986588935236571,0.9384435622705949,1.034734308202547,0.48422226884207,0.3606486746337604,0.6077958630503796,1.1279490720209224,1.105467896841093,1.150430247200752,1.1024266429008256,1.0534878881452632,1.151365397656388,0.4898009528445713,0.3662365590198331,0.6133653466693095
25.0,0.9888868062189158,0.9389176943761885,1.038855918061643,0.29168114413991425,0.1292264902693289,0.45413579801049964,1.111045881610345,1.0892160266307638,1.1328757365899262,1.1310818905198152,1.0783456496644677,1.1838181313751628,0.30106361810036975,0.13900574634121335,0.46312148985952617
26.0,0.9857785105762416,0.9395516573376087,1.0320053638148745,0.6163066810816733,0.5021499398865128,0.7304634222768338,1.0489409318728784,1.0286276484274968,1.06925421531826,1.0779243641085847,1.029673672641898,1.1261750555752714,0.5918129580759903,0.47744833454718943,0.7061775816047913
27.0,0.9424605070119388,0.893031030760955,0.9918899832629227,0.39383097355660085,0.24618324670526093,0.5414787004079408,1.0401571168869468,1.01902357437122,1.0612906594026736,1.0555970569600097,1.0057328262709417,1.1054612876490777,0.4697449231899265,0.34566461999401027,0.5938252263858428
28.0,0.9832971239705665,0.93626374076365,1.0303305071774829,0.5320343510635756,0.4115953714666371,0.652473330660514,1.078585460474122,1.0571442046591502,1.100026716289094,1.1013456073297103,1.051483725377324,1.1512074892820967,0.563606882613429,0.45103280476438673,0.6761809604624712
29.0,0.9360527608741419,0.8860534436584782,0.9860520780898057,0.3817324071856509,0.24252971553923403,0.5209350988320678,1.047604783168402,1.0256132442039698,1.0695963221328344,1.0713230028335887,1.0222015331923335,1.120444472474844,0.5090257399858987,0.3817763294736599,0.6362751504981375
30.0,0.9509893208920238,0.9036681048351943,0.9983105369488533,0.4759346963159983,0.3484936434413531,0.6033757491906435,1.0463241550075546,1.0244338445718606,1.0682144654432486,1.060127310653526,1.011268163888228,1.1089864574188242,0.5062683241578586,0.37851033092881203,0.6340263173869052
