rep,coef_ols,lower_bound_ols,upper_bound_ols,coef_naive-ml,lower_bound_naive-ml,upper_bound_naive-ml,coef_dml-plr,lower_bound_dml-plr,upper_bound_dml-plr,coef_dml-irm,lower_bound_dml-irm,upper_bound_dml-irm
4.0,0.3386322302534398,0.16732290265822622,0.5099415578486534,0.36338917071752247,0.26214046639455557,0.46463787504048937,0.3470393912470786,0.1597821504110002,0.534296632083157,0.3707911535324414,0.11085412207973921,0.6307281849851436
5.0,0.4324743143556601,0.2598100597274378,0.6051385689838824,0.4974794485457452,0.39587363850599366,0.5990852585854968,0.4261592719136966,0.2491829435718195,0.6031356002555738,0.49339641001843515,0.27403863149707663,0.7127541885397937
6.0,0.38278501466980147,0.21208752041431822,0.5534825089252847,0.4915128269615308,0.39678285276166186,0.5862428011613998,0.43170293835418,0.24986638469973046,0.6135394920086296,0.6039386717681121,0.30959183204042956,0.8982855114957946
7.0,0.6487723392338793,0.4835075856653954,0.8140370928023632,0.6790627189337484,0.584324361356149,0.7738010765113478,0.6403397517068493,0.47789356063850935,0.8027859427751893,0.6791388635989731,0.4242359048987469,0.9340418222991993
8.0,0.5679545797794983,0.4011357968970285,0.734773362661968,0.5987016343209824,0.5036931600190254,0.6937101086229395,0.6091157638292902,0.44541002792441237,0.772821499734168,0.6287497655591003,0.4129677334498439,0.8445317976683568
9.0,0.439496204986237,0.2767701324334344,0.6022222775390396,0.42304227342236467,0.3339556668548887,0.5121288799898407,0.4492913176628314,0.28251412900682654,0.6160685063188363,0.46779849191749673,0.278283145403093,0.6573138384319004
10.0,0.35615793288179953,0.1875015121775028,0.5248143535860963,0.3298990914007899,0.23169855698372344,0.4280996258178563,0.3638659277051838,0.18996550815726745,0.5377663472531001,0.32161908428613856,0.0933737572475685,0.5498644113247086
11.0,0.528090370303909,0.3570633071726548,0.6991174334351633,0.49623530450651615,0.40163297741797105,0.5908376315950612,0.49804959163934365,0.32584122100108615,0.6702579622776011,0.3848508366312681,0.08421176005319536,0.6854899132093408
12.0,0.45926863724236466,0.2985075124868646,0.6200297619978647,0.48917396695409776,0.39429045436304294,0.5840574795451525,0.4396909864253613,0.27627218374962126,0.6031097891011014,0.45538532873560494,0.2563945877001335,0.6543760697710763
13.0,0.5226537728439252,0.35943680675239986,0.6858707389354506,0.5382154705067507,0.44461796309992885,0.6318129779135725,0.53645861899678,0.36841838226909523,0.7044988557244649,0.5955530641396103,0.3802210752373204,0.8108850530419002
14.0,0.5247227947330698,0.36541200168046784,0.6840335877856718,0.5625766037462411,0.47091520915197593,0.6542379983405062,0.5631890625603526,0.4047029173137119,0.7216752078069933,0.6540605913353413,0.4178233413221339,0.8902978413485487
15.0,0.5176512168261751,0.35128940307910544,0.6840130305732448,0.560475323708999,0.46460445753772134,0.6563461898802767,0.5090856515193809,0.3417558550127817,0.6764154480259801,0.5521410203977759,0.3639368193381213,0.7403452214574305
16.0,0.6058692449273211,0.44365257603644204,0.7680859138182001,0.6795514693069101,0.5901285931309244,0.7689743454828959,0.607147771609954,0.43786679142024687,0.7764287517996612,0.6038949055859255,0.41616906961965094,0.7916207415522001
17.0,0.4148749597566195,0.24133062167314862,0.5884192978400904,0.47285082030716236,0.3798575225168479,0.5658441180974768,0.46070714221162357,0.2788724052546816,0.6425418791685655,0.4686357718386167,0.22294709116481112,0.7143244525124223
18.0,0.4676142946177688,0.30068747326080336,0.6345411159747343,0.5319531851187496,0.43674291577971924,0.6271634544577799,0.5220457064806421,0.34069423034769986,0.7033971826135843,0.5851494237026235,0.3535303504854097,0.8167684969198372
19.0,0.7970797177652421,0.6276600023320773,0.9664994331984069,0.8674520424317365,0.7697744168684378,0.9651296679950351,0.7732986480900963,0.6021774441150497,0.9444198520651429,0.7588274185626737,0.5250779985779123,0.9925768385474351
20.0,0.46839681861637433,0.30431124944656684,0.6324823877861818,0.6065240354541486,0.51506378342395,0.6979842874843472,0.5095801233647278,0.34734854454832487,0.6718117021811307,0.3689235775504513,0.05553149207450231,0.6823156630264002
21.0,0.5876959004657853,0.4316263236259178,0.7437654773056529,0.6050871320641487,0.5118056343632372,0.6983686297650601,0.5783823153165065,0.4150007133190264,0.7417639173139867,0.5044932083470842,0.2984091542742477,0.7105772624199207
22.0,0.6089535179433122,0.4473663115612348,0.7705407243253897,0.621201324843426,0.5315352785648687,0.7108673711219834,0.6093634940266184,0.4482676686154181,0.7704593194378186,0.6724119281181007,0.4306987253398017,0.9141251308963997
23.0,0.6119100290676254,0.4386719000027034,0.7851481581325473,0.6381977044226492,0.5374379972881114,0.7389574115571871,0.6142032528701471,0.4270282452910141,0.8013782604492801,0.7412225799686727,0.533105218266142,0.9493399416712034
24.0,0.5094964904879453,0.3428011986461281,0.6761917823297625,0.5665907657277857,0.4734056457497329,0.6597758857058384,0.5163184349095874,0.3404028881949316,0.6922339816242432,0.6789195531033992,0.4464246660416842,0.9114144401651143
25.0,0.31549930177641883,0.15018463384093014,0.4808139697119075,0.3880759450734783,0.29062154496146164,0.485530345185495,0.3004382511792725,0.12419007155420164,0.4766864308043433,0.3620096692995408,0.11031206743935595,0.6137072711597257
26.0,0.5072065470994698,0.3338673771167998,0.6805457170821397,0.582737636714617,0.4803178085095712,0.6851574649196628,0.5314575723840969,0.35262767120246397,0.7102874735657297,0.5469027218310212,0.3342497442001052,0.7595556994619371
27.0,0.4823075407849926,0.31636831972625556,0.6482467618437296,0.4908242650522354,0.39506289427532143,0.5865856358291494,0.4492575461543813,0.2811593089677298,0.6173557833410328,0.5096754399865501,0.1568955789371752,0.8624553010359249
28.0,0.5155746923307175,0.3479074050378803,0.6832419796235547,0.5051760121876454,0.4141636609335334,0.5961883634417574,0.4771719450081069,0.30887629762610724,0.6454675923901065,0.4632850208626006,0.2556097536241683,0.6709602881010328
29.0,0.538954534763946,0.3752380407969258,0.7026710287309661,0.5765155013145893,0.4769953544988307,0.6760356481303479,0.5428252695116367,0.3728921588653925,0.7127583801578808,0.6044789993455866,0.42199519432000854,0.7869628043711646
30.0,0.48758195936956183,0.3185428604859485,0.6566210582531752,0.5468722106391398,0.45213721057878936,0.6416072106994903,0.4722601206839987,0.2947404019171842,0.6497798394508132,0.4475062568440939,0.18314124380053243,0.7118712698876554
