rep,coef_ols,lower_bound_ols,upper_bound_ols,coef_naive-ml,lower_bound_naive-ml,upper_bound_naive-ml,coef_dml-plr,lower_bound_dml-plr,upper_bound_dml-plr
1.0,0.48312256021464645,0.4200785548428745,0.5461665655864184,0.5075246711044993,0.463430113654641,0.5516192285543575,0.4677967854419611,0.4050450857568425,0.5305484851270797
2.0,0.5301488484513449,0.46673488863444124,0.5935628082682486,0.5432187447336184,0.49777289192837276,0.5886645975388641,0.4877813853211627,0.42615724553476364,0.5494055251075618
3.0,0.4924455047135303,0.43096327484087493,0.5539277345861857,0.5121838378497434,0.46773875873909837,0.5566289169603884,0.47314966826635596,0.41515348578554206,0.5311458507471698
4.0,0.5121392910056995,0.4507377627050335,0.5735408193063656,0.5312557056747452,0.48778485848313075,0.5747265528663597,0.48360270966891306,0.4231646783843902,0.5440407409534359
5.0,0.5498032031620395,0.4835055596097959,0.616100846714283,0.5705741150869241,0.5230889218055629,0.6180593083682854,0.5142013283563777,0.4458327152066294,0.5825699415061258
6.0,0.49533326731851046,0.4320907197287001,0.5585758149083209,0.5081341143700145,0.4647999701133398,0.5514682586266892,0.5029333758325466,0.4375126210516024,0.5683541306134908
7.0,0.5427737192369959,0.4770945891962487,0.6084528492777431,0.5646703784361796,0.5184007333972771,0.6109400234750821,0.5141970448756689,0.4466112819567645,0.5817828077945733
8.0,0.43631052477056487,0.37412457104705743,0.4984964784940723,0.4678998985615214,0.4245077320668313,0.5112920650562116,0.42768453428854714,0.3669521329834915,0.4884169355936028
9.0,0.527840741694747,0.4680833561803809,0.5875981272091132,0.5472824681437958,0.5045251047611847,0.5900398315264068,0.5022516252779408,0.4431742396233941,0.5613290109324874
10.0,0.478757819760348,0.4120829856216293,0.5454326538990667,0.5047341718523806,0.4590218108698411,0.55044653283492,0.4656549174725835,0.4015958628979419,0.529713972047225
11.0,0.5378676556748259,0.47328935187506305,0.6024459594745887,0.5662279440184007,0.5211578276183282,0.6112980604184732,0.5038083972488513,0.4399484269221114,0.5676683675755912
12.0,0.5099316666904952,0.4510608234884815,0.5688025098925089,0.5386707292300092,0.4965357896838257,0.5808056687761928,0.5090984773245946,0.4502207048285502,0.567976249820639
13.0,0.5097423233796723,0.4461355700866625,0.5733490766726821,0.5411569327950956,0.49782888977513695,0.5844849758150542,0.5109618017339359,0.4507005539855314,0.5712230494823404
14.0,0.5360524073667496,0.470226336563315,0.6018784781701843,0.545963176454321,0.5016430091024748,0.5902833438061672,0.5251794455941146,0.4620729536965692,0.5882859374916599
15.0,0.5030791268221478,0.44157070765435485,0.5645875459899409,0.5112614900112142,0.46721095224535597,0.5553120277770726,0.4879879886922402,0.4249844644251348,0.5509915129593456
16.0,0.5227206503478257,0.4614072330612486,0.5840340676344027,0.5306967992920113,0.48509103038150914,0.5763025682025135,0.526450902847143,0.46480326580110026,0.5880985398931858
17.0,0.5121451603334233,0.4490247689028895,0.5752655517639571,0.5232798079002288,0.47864712975906654,0.567912486041391,0.4930716243212215,0.427523532927668,0.558619715714775
18.0,0.5042648515317576,0.44267218030030675,0.5658575227632084,0.5071952226511061,0.46300530865825873,0.5513851366439534,0.49573776267807895,0.43270625571055854,0.5587692696455994
19.0,0.46443318873915157,0.39751690900305214,0.531349468475251,0.48259357997431995,0.43380869432020946,0.5313784656284304,0.46863335091049324,0.39956732586872257,0.5376993759522639
20.0,0.5074372272207464,0.4437719663524662,0.5711024880890265,0.5370264268004766,0.49295934574236117,0.5810935078585922,0.5148148669525833,0.4504799985954895,0.5791497353096771
21.0,0.44439435888392675,0.38209488519355117,0.5066938325743023,0.47735138287396045,0.432982573830034,0.5217201919178869,0.4115563528059731,0.3491724457337357,0.4739402598782105
22.0,0.49619541945976636,0.43358992773121935,0.5588009111883133,0.5274986112748996,0.48383992743201715,0.5711572951177821,0.4665290611585309,0.4036590740586811,0.5293990482583807
23.0,0.5022801805844103,0.43852362315661364,0.5660367380122069,0.5247164660711975,0.48130615465982063,0.5681267774825743,0.5048449984814006,0.441834300135716,0.5678556968270853
24.0,0.4935357281672108,0.42992987748219796,0.5571415788522237,0.5258884290808834,0.48331916974503164,0.5684576884167352,0.4971121084672991,0.43293019490070034,0.5612940220338978
25.0,0.5076992136738872,0.44374135806260573,0.5716570692851686,0.5306354563457407,0.4862442405914176,0.5750266721000639,0.4792491745112679,0.4193286102115477,0.5391697388109882
26.0,0.48808161105166314,0.4263094212434271,0.5498538008598992,0.5188663978302319,0.4729545793711847,0.5647782162892792,0.4959293516290412,0.43400068849030515,0.5578580147677773
27.0,0.5162213339362121,0.4538486967969589,0.5785939710754653,0.5403905051985979,0.49391664425347637,0.5868643661437194,0.5100547229429883,0.4468299811366846,0.5732794647492919
28.0,0.5520563663128167,0.48762482524376805,0.6164879073818654,0.5428916435064925,0.4975325844617656,0.5882507025512195,0.5333125664282811,0.4707214926837595,0.5959036401728026
29.0,0.5050727872296397,0.44356603660021593,0.5665795378590635,0.536333678652177,0.49101042201545797,0.581656935288896,0.4844503820208903,0.42435355840257166,0.544547205639209
30.0,0.520513718353234,0.46056996445160864,0.5804574722548594,0.5323116879274146,0.48966993799580616,0.574953437859023,0.5102572307388582,0.45120155585016936,0.5693129056275471
